Date,Index Value,Absolute Change,Percentage Change
2020-01-01,1169.5,3.47,0.3
2020-01-02,1166.21,-3.29,-0.28
2020-01-05,1182.31,16.1,1.38
2020-01-06,1200.69,18.38,1.55
2020-01-07,1216.92,16.23,1.35
2020-01-08,1209.6,-7.32,-0.6
2020-01-09,1213.11,3.51,0.29
2020-01-12,1255.72,42.61,3.51
2020-01-13,1270.86,15.14,1.21
2020-01-14,1263.38,-7.48,-0.59
2020-01-15,1284.23,20.85,1.65
2020-01-16,1310.23,26.0,2.02
2020-01-19,1343.65,33.42,2.55
2020-01-20,1317.11,-26.54,-1.98
2020-01-21,1320.47,3.36,0.26
2020-01-22,1313.42,-7.05,-0.53
2020-01-23,1297.47,-15.95,-1.21
2020-01-26,1276.68,-20.79,-1.6
2020-01-27,1300.62,23.94,1.88
2020-01-28,1306.15,5.53,0.43
2020-01-29,1305.88,-0.27,-0.02
2020-01-30,1325.38,19.5,1.49
2020-02-02,1346.64,21.26,1.49
2020-02-03,1349.13,2.49,0.18
2020-02-04,1337.04,-12.09,-0.9
2020-02-05,1342.36,5.32,0.4
2020-02-06,1333.69,-8.67,-0.65
2020-02-09,1319.99,-13.7,-1.03
2020-02-10,1324.26,4.27,0.32
2020-02-11,1341.38,17.12,1.29
2020-02-12,1345.97,4.59,0.34
2020-02-13,1344.59,-1.38,-0.1
2020-02-16,1363.97,19.38,1.44
2020-02-17,1398.24,34.27,2.51
2020-02-18,1400.01,1.77,0.13
2020-02-19,1405.25,5.24,0.37
2020-02-20,1434.57,29.32,2.09
2020-02-23,1504.14,69.57,4.85
2020-02-24,1502.18,-1.96,-0.13
2020-02-25,1545.19,43.01,2.86
2020-02-26,1596.13,50.94,3.3
2020-02-27,1632.17,31.44,1.97
2020-03-01,1591.36,-40.81,-2.5
2020-03-02,1495.3,-96.06,-6.04
2020-03-03,1509.67,14.37,0.96
2020-03-04,1441.2,-68.47,-4.54
2020-03-05,1435.7,-5.5,-0.38
2020-03-10,1349.31,-86.39,-6.02
2020-03-11,1423.09,73.78,5.47
2020-03-12,1377.18,-45.91,-3.23
2020-03-15,1313.04,-64.14,-4.66
2020-03-16,1316.39,3.35,0.26
2020-03-17,1272.06,-44.33,-3.37
2020-03-18,1255.8,-16.26,-1.28
2020-03-19,1269.3,13.5,1.08
2020-03-22,1251.45,-18.2,-1.43
2020-05-12,1226.15,-25.3,-2.02
2020-05-13,1201.57,-24.58,-2.0
2020-06-29,1188.7,-12.87,-1.07
2020-06-30,1260.75,72.05,6.06
